"Plot Title: Four Mile Brook"
"#","Date Time, GMT-05:00","Temp, °C","Coupler Detached","End Of File"
190,03/20/16 03:30:00 PM,4.714,,
191,03/20/16 03:30:00 PM,4.740,,
192,03/20/16 03:30:00 PM,4.792,,
193,03/20/16 03:30:00 PM,4.844,,
194,03/20/16 03:30:00 PM,4.869,,
195,03/20/16 03:30:00 PM,4.895,,
196,03/20/16 03:30:00 PM,4.895,,
197,03/20/16 03:30:00 PM,4.895,,
198,03/20/16 03:30:00 PM,4.895,,
199,03/20/16 03:30:00 PM,4.895,,
200,03/20/16 03:30:00 PM,4.869,,
201,03/20/16 03:30:00 PM,4.844,,
202,03/20/16 03:30:00 PM,4.792,,
203,03/20/16 03:30:00 PM,4.714,,
204,03/20/16 03:30:00 PM,4.636,,
205,03/20/16 03:30:00 PM,4.532,,
206,03/20/16 03:30:00 PM,4.428,,
207,03/20/16 03:30:00 PM,4.298,,
208,03/20/16 03:30:00 PM,4.220,,
209,03/20/16 03:30:00 PM,4.194,,
210,03/20/16 03:30:00 PM,4.168,,
211,03/20/16 03:30:00 PM,4.298,,
212,03/20/16 03:30:00 PM,4.480,,
213,03/20/16 03:30:00 PM,4.662,,
214,03/20/16 03:30:00 PM,4.947,,
215,03/20/16 03:30:00 PM,5.205,,
216,03/20/16 03:30:00 PM,5.539,,
217,03/20/16 03:30:00 PM,5.668,,
218,03/20/16 03:30:00 PM,5.565,,
219,03/20/16 03:30:00 PM,5.282,,
220,03/20/16 03:30:00 PM,4.999,,
221,03/20/16 03:30:00 PM,4.766,,
222,03/20/16 03:30:00 PM,4.558,,
223,03/20/16 03:30:00 PM,4.376,,
224,03/20/16 03:30:00 PM,4.115,,
225,03/20/16 03:30:00 PM,3.854,,
226,03/20/16 03:30:00 PM,3.591,,
227,03/20/16 03:30:00 PM,3.380,,
228,03/20/16 03:30:00 PM,3.168,,
229,03/20/16 03:30:00 PM,2.956,,
230,03/20/16 03:30:00 PM,2.770,,
231,03/20/16 03:30:00 PM,2.584,,
232,03/20/16 03:30:00 PM,2.396,,
233,03/20/16 03:30:00 PM,2.370,,
234,03/20/16 03:30:00 PM,2.477,,
235,03/20/16 03:30:00 PM,2.770,,
236,03/20/16 03:30:00 PM,3.168,,
237,03/20/16 03:30:00 PM,3.670,,
238,03/20/16 03:30:00 PM,4.324,,
239,03/20/16 03:30:00 PM,4.947,,
240,03/20/16 03:30:00 PM,5.514,,
241,03/20/16 03:30:00 PM,5.821,,
242,03/20/16 03:30:00 PM,5.975,,
243,03/20/16 03:30:00 PM,5.872,,
244,03/20/16 03:30:00 PM,5.719,,
245,03/20/16 03:30:00 PM,5.514,,
246,03/20/16 03:30:00 PM,5.360,,
247,03/20/16 03:30:00 PM,5.205,,
248,03/20/16 03:30:00 PM,5.102,,
249,03/20/16 03:30:00 PM,4.999,,
250,03/20/16 03:30:00 PM,4.921,,
251,03/20/16 03:30:00 PM,4.869,,
252,03/20/16 03:30:00 PM,4.869,,
253,03/20/16 03:30:00 PM,4.869,,
254,03/20/16 03:30:00 PM,4.844,,
255,03/20/16 03:30:00 PM,4.792,,
256,03/20/16 03:30:00 PM,4.844,,
257,03/20/16 03:30:00 PM,4.869,,
258,03/20/16 03:30:00 PM,5.024,,
259,03/20/16 03:30:00 PM,5.385,,
260,03/20/16 03:30:00 PM,5.975,,
261,03/20/16 03:30:00 PM,6.535,,
262,03/20/16 03:30:00 PM,7.242,,
263,03/20/16 03:30:00 PM,7.795,,
264,03/20/16 03:30:00 PM,8.295,,
265,03/20/16 03:30:00 PM,8.618,,
266,03/20/16 03:30:00 PM,8.792,,
267,03/20/16 03:30:00 PM,8.767,,
268,03/20/16 03:30:00 PM,8.668,,
269,03/20/16 03:30:00 PM,8.593,,
270,03/20/16 03:30:00 PM,8.568,,
271,03/20/16 03:30:00 PM,8.543,,
272,03/20/16 03:30:00 PM,8.519,,
273,03/20/16 03:30:00 PM,8.543,,
274,03/20/16 03:30:00 PM,8.593,,
275,03/20/16 03:30:00 PM,8.668,,
276,03/20/16 03:30:00 PM,8.792,,
277,03/20/16 03:30:00 PM,8.891,,
278,03/20/16 03:30:00 PM,8.965,,
279,03/20/16 03:30:00 PM,8.965,,
280,03/20/16 03:30:00 PM,8.990,,
281,03/20/16 03:30:00 PM,9.040,,
282,03/20/16 03:30:00 PM,9.213,,
283,03/20/16 03:30:00 PM,9.336,,
284,03/20/16 03:30:00 PM,9.657,,
285,03/20/16 03:30:00 PM,9.977,,
286,03/20/16 03:30:00 PM,10.173,,
287,03/20/16 03:30:00 PM,10.590,,
288,03/20/16 03:30:00 PM,11.102,,
289,03/20/16 03:30:00 PM,11.248,,
290,03/20/16 03:30:00 PM,11.102,,
291,03/20/16 03:30:00 PM,10.858,,
292,03/20/16 03:30:00 PM,10.663,,
293,03/20/16 03:30:00 PM,10.590,,
294,03/20/16 03:30:00 PM,10.418,,
295,03/20/16 03:30:00 PM,10.124,,
296,03/20/16 03:30:00 PM,9.780,,
297,03/20/16 03:30:00 PM,9.460,,
298,03/20/16 03:30:00 PM,9.188,,
299,03/20/16 03:30:00 PM,8.866,,
300,03/20/16 03:30:00 PM,8.568,,
301,03/20/16 03:30:00 PM,8.344,,
302,03/20/16 03:30:00 PM,8.120,,
303,03/20/16 03:30:00 PM,7.920,,
304,03/20/16 03:30:00 PM,7.745,,
305,03/20/16 03:30:00 PM,7.619,,
306,03/20/16 03:30:00 PM,7.519,,
307,03/20/16 03:30:00 PM,7.419,,
308,03/20/16 03:30:00 PM,7.368,,
309,03/20/16 03:30:00 PM,7.318,,
310,03/20/16 03:30:00 PM,7.343,,
311,03/20/16 03:30:00 PM,7.368,,
