"","Stream","Location","Season","Month","Year","DayOfYear","Date","Addition","MeanTemp","MaximumTemp","MinimumTemp","Difference","DOY"
"141","Burying Ground","Below Webber Road",1,"02","2015",51,2015-02-20,730,0.00591666666666667,0.024,-0.032,0.056,781
"142","Burying Ground","Below Webber Road",1,"02","2015",52,2015-02-21,730,-0.00283333333333333,0.024,-0.032,0.056,782
"143","Burying Ground","Below Webber Road",1,"02","2015",53,2015-02-22,730,0.0415208333333333,0.079,-0.004,0.083,783
"144","Burying Ground","Below Webber Road",1,"02","2015",54,2015-02-23,730,0.0548125,0.107,-0.004,0.111,784
"145","Burying Ground","Below Webber Road",1,"02","2015",55,2015-02-24,730,-0.00341666666666667,0.024,-0.032,0.056,785
"146","Burying Ground","Below Webber Road",1,"02","2015",56,2015-02-25,730,0.0301875,0.051,0.024,0.027,786
"147","Burying Ground","Below Webber Road",1,"02","2015",57,2015-02-26,730,0.0444583333333333,0.079,0.024,0.055,787
"148","Burying Ground","Below Webber Road",1,"02","2015",58,2015-02-27,730,0.0438958333333333,0.107,-0.004,0.111,788
"149","Burying Ground","Below Webber Road",1,"02","2015",59,2015-02-28,730,0.00758333333333333,0.051,-0.032,0.083,789
"150","Burying Ground","Below Webber Road",1,"02","2016",32,2016-02-01,1095,3.09197916666667,4.037,2.53,1.507,1127
"151","Burying Ground","Below Webber Road",1,"02","2016",33,2016-02-02,1095,2.62233333333333,3.406,2.074,1.332,1128
"152","Burying Ground","Below Webber Road",1,"02","2016",34,2016-02-03,1095,2.2834375,2.903,1.534,1.369,1129
"153","Burying Ground","Below Webber Road",1,"02","2016",35,2016-02-04,1095,3.62064583333333,4.22,2.93,1.29,1130
"154","Burying Ground","Below Webber Road",1,"02","2016",36,2016-02-05,1095,1.82572916666667,3.248,0.632,2.616,1131
"155","Burying Ground","Below Webber Road",1,"02","2016",37,2016-02-06,1095,1.17597916666667,2.047,0.356,1.691,1132
"156","Burying Ground","Below Webber Road",1,"02","2016",38,2016-02-07,1095,1.435375,2.396,0.55,1.846,1133
"157","Burying Ground","Below Webber Road",1,"02","2016",39,2016-02-08,1095,0.983583333333333,1.805,0.135,1.67,1134
"158","Burying Ground","Below Webber Road",1,"02","2016",40,2016-02-09,1095,0.6443125,1.289,0.163,1.126,1135
"159","Burying Ground","Below Webber Road",1,"02","2016",41,2016-02-10,1095,1.01677083333333,1.886,0.356,1.53,1136
"160","Burying Ground","Below Webber Road",1,"02","2016",42,2016-02-11,1095,0.284375,1.153,-0.088,1.241,1137
"161","Burying Ground","Below Webber Road",1,"02","2016",43,2016-02-12,1095,-0.0728333333333333,-0.032,-0.088,0.056,1138
"162","Burying Ground","Below Webber Road",1,"02","2016",44,2016-02-13,1095,-0.08625,-0.06,-0.088,0.028,1139
"163","Burying Ground","Below Webber Road",1,"02","2016",45,2016-02-14,1095,-0.088,-0.088,-0.088,0,1140
"164","Burying Ground","Below Webber Road",1,"02","2016",46,2016-02-15,1095,-0.088,-0.088,-0.088,0,1141
"165","Burying Ground","Below Webber Road",1,"02","2016",47,2016-02-16,1095,-0.0780833333333333,-0.06,-0.088,0.028,1142
"166","Burying Ground","Below Webber Road",1,"02","2016",48,2016-02-17,1095,-0.0850833333333333,-0.032,-0.088,0.056,1143
"167","Burying Ground","Below Webber Road",1,"02","2016",49,2016-02-18,1095,0.388041666666667,0.77,-0.032,0.802,1144
"168","Burying Ground","Below Webber Road",1,"02","2016",50,2016-02-19,1095,0.587479166666667,1.208,-0.004,1.212,1145
"169","Burying Ground","Below Webber Road",1,"02","2016",51,2016-02-20,1095,1.24777083333333,1.534,0.742,0.792,1146
"170","Burying Ground","Below Webber Road",1,"02","2016",52,2016-02-21,1095,1.52820833333333,1.832,1.235,0.597,1147
"171","Burying Ground","Below Webber Road",1,"02","2016",53,2016-02-22,1095,1.92447916666667,2.584,1.588,0.996,1148
"172","Burying Ground","Below Webber Road",1,"02","2016",54,2016-02-23,1095,1.6895625,2.423,1.071,1.352,1149
"173","Burying Ground","Below Webber Road",1,"02","2016",55,2016-02-24,1095,1.37439583333333,2.101,0.19,1.911,1150
"174","Burying Ground","Below Webber Road",1,"02","2016",56,2016-02-25,1095,2.39620833333333,3.643,0.273,3.37,1151
"175","Burying Ground","Below Webber Road",1,"02","2016",57,2016-02-26,1095,1.93345833333333,2.93,1.017,1.913,1152
"176","Burying Ground","Below Webber Road",1,"02","2016",58,2016-02-27,1095,1.56179166666667,2.584,0.797,1.787,1153
"177","Burying Ground","Below Webber Road",1,"02","2016",59,2016-02-28,1095,2.85908333333333,4.168,1.94,2.228,1154
"178","Burying Ground","Below Webber Road",1,"02","2016",60,2016-02-29,1095,3.44795833333333,4.402,2.85,1.552,1155
"179","Burying Ground","Below Webber Road",1,"03","2014",60,2014-03-01,365,0.0778333333333333,0.107,0.051,0.056,425
"180","Burying Ground","Below Webber Road",1,"03","2014",61,2014-03-02,365,0.157854166666667,0.19,0.107,0.083,426
"181","Burying Ground","Below Webber Road",1,"03","2014",62,2014-03-03,365,0.162041666666667,0.19,0.107,0.083,427
"182","Burying Ground","Below Webber Road",1,"03","2014",63,2014-03-04,365,0.0749166666666667,0.107,0.051,0.056,428
"183","Burying Ground","Below Webber Road",1,"03","2014",64,2014-03-05,365,0.107,0.135,0.079,0.056,429
"184","Burying Ground","Below Webber Road",1,"03","2014",65,2014-03-06,365,0.0889166666666667,0.135,0.051,0.084,430
"185","Burying Ground","Below Webber Road",1,"03","2014",66,2014-03-07,365,0.0610625,0.079,0.024,0.055,431
"186","Burying Ground","Below Webber Road",1,"03","2014",67,2014-03-08,365,0.136479166666667,0.19,0.079,0.111,432
"187","Burying Ground","Below Webber Road",1,"03","2014",68,2014-03-09,365,0.349979166666667,0.495,0.19,0.305,433
"188","Burying Ground","Below Webber Road",1,"03","2014",69,2014-03-10,365,0.583416666666667,0.77,0.467,0.303,434
"189","Burying Ground","Below Webber Road",1,"03","2014",70,2014-03-11,365,0.789354166666667,1.398,0.19,1.208,435
"190","Burying Ground","Below Webber Road",1,"03","2014",71,2014-03-12,365,0.733770833333333,1.099,-0.088,1.187,436
"191","Burying Ground","Below Webber Road",1,"03","2014",72,2014-03-13,365,0.0201875,0.163,-0.088,0.251,437
"192","Burying Ground","Below Webber Road",1,"03","2014",73,2014-03-14,365,0.0866666666666667,0.273,-0.032,0.305,438
"193","Burying Ground","Below Webber Road",1,"03","2014",74,2014-03-15,365,0.733625,1.126,0.273,0.853,439
"194","Burying Ground","Below Webber Road",1,"03","2014",75,2014-03-16,365,0.6015625,1.044,0.218,0.826,440
"195","Burying Ground","Below Webber Road",1,"03","2014",76,2014-03-17,365,0.0827291666666667,0.19,-0.032,0.222,441
"196","Burying Ground","Below Webber Road",1,"03","2014",77,2014-03-18,365,0.06175,0.19,-0.06,0.25,442
"197","Burying Ground","Below Webber Road",1,"03","2014",78,2014-03-19,365,0.305791666666667,0.66,0.024,0.636,443
"198","Burying Ground","Below Webber Road",1,"03","2014",79,2014-03-20,365,0.540854166666667,1.044,-0.06,1.104,444
